No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,player_link,team_id,year
13,Thomas Bryant,C,6-10,248,"July 31, 1997",usUS,5,Indiana,https://www.basketball-reference.com/players/b/bryanth01.html,DEN,2023
5,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",usUS,9,Georgia,https://www.basketball-reference.com/players/c/caldwke01.html,DEN,2023
31,Vlatko Čančar,PF,6-8,236,"April 10, 1997",siSI,3,,https://www.basketball-reference.com/players/c/cancavl01.html,DEN,2023
50,Aaron Gordon,PF,6-8,235,"September 16, 1995",usUS,8,Arizona,https://www.basketball-reference.com/players/g/gordoaa01.html,DEN,2023
32,Jeff Green,PF,6-8,235,"August 28, 1986",usUS,14,Georgetown,https://www.basketball-reference.com/players/g/greenje02.html,DEN,2023
3,Bones Hyland,PG,6-2,173,"September 14, 2000",usUS,1,VCU,https://www.basketball-reference.com/players/h/hylanbo01.html,DEN,2023
7,Reggie Jackson,PG,6-2,208,"April 16, 1990",itIT,11,Boston College,https://www.basketball-reference.com/players/j/jacksre01.html,DEN,2023
15,Nikola Jokić,C,6-11,284,"February 19, 1995",rsRS,7,,https://www.basketball-reference.com/players/j/jokicni01.html,DEN,2023
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",usUS,14,Texas A&M,https://www.basketball-reference.com/players/j/jordade01.html,DEN,2023
27,Jamal Murray,PG,6-4,215,"February 23, 1997",caCA,5,Kentucky,https://www.basketball-reference.com/players/m/murraja01.html,DEN,2023
22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",usUS,2,Arizona,https://www.basketball-reference.com/players/n/nnajize01.html,DEN,2023
1,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",usUS,3,Missouri,https://www.basketball-reference.com/players/p/portemi01.html,DEN,2023
9,Davon Reed,SG,6-5,208,"June 11, 1995",usUS,3,Miami (FL),https://www.basketball-reference.com/players/r/reedda01.html,DEN,2023
14,Ish Smith,PG,6-0,175,"July 5, 1988",usUS,12,Wake Forest,https://www.basketball-reference.com/players/s/smithis01.html,DEN,2023
8,Peyton Watson,SG,6-8,200,"September 11, 2002",usUS,R,UCLA,https://www.basketball-reference.com/players/w/watsope01.html,DEN,2023
10,Jack White,SF,6-7,225,"August 5, 1997",auAU,R,Duke,https://www.basketball-reference.com/players/w/whiteja03.html,DEN,2023
8,Nemanja Bjelica,C,6-10,234,"May 9, 1988",rsRS,6,,https://www.basketball-reference.com/players/b/bjeline01.html,GSW,2022
2,Chris Chiozza,PG,5-11,175,"November 21, 1995",usUS,3,Florida,https://www.basketball-reference.com/players/c/chiozch01.html,GSW,2022
30,Stephen Curry,PG,6-2,185,"March 14, 1988",usUS,12,Davidson,https://www.basketball-reference.com/players/c/curryst01.html,GSW,2022
21,Jeff Dowtin Jr.,PG,6-3,185,"May 10, 1997",usUS,R,Rhode Island,https://www.basketball-reference.com/players/d/dowtije01.html,GSW,2022
23,Draymond Green,PF,6-6,230,"March 4, 1990",usUS,9,Michigan State,https://www.basketball-reference.com/players/g/greendr01.html,GSW,2022
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",usUS,17,Arizona,https://www.basketball-reference.com/players/i/iguodan01.html,GSW,2022
00,Jonathan Kuminga,SF,6-8,210,"October 6, 2002",cdCD,R,,https://www.basketball-reference.com/players/k/kuminjo01.html,GSW,2022
1,Damion Lee,SG,6-5,210,"October 21, 1992",usUS,4,"Drexel,Louisville",https://www.basketball-reference.com/players/l/leeda03.html,GSW,2022
5,Kevon Looney,C,6-9,222,"February 6, 1996",usUS,6,UCLA,https://www.basketball-reference.com/players/l/looneke01.html,GSW,2022
4,Moses Moody,SG,6-5,205,"May 31, 2002",usUS,R,Arkansas,https://www.basketball-reference.com/players/m/moodymo01.html,GSW,2022
0,Gary Payton II,SG,6-2,190,"December 1, 1992",usUS,5,Oregon State,https://www.basketball-reference.com/players/p/paytoga02.html,GSW,2022
3,Jordan Poole,SG,6-4,194,"June 19, 1999",usUS,2,Michigan,https://www.basketball-reference.com/players/p/poolejo01.html,GSW,2022
32,Otto Porter Jr.,PF,6-8,198,"June 3, 1993",usUS,8,Georgetown,https://www.basketball-reference.com/players/p/porteot01.html,GSW,2022
11,Klay Thompson,SG,6-5,215,"February 8, 1990",usUS,8,Washington State,https://www.basketball-reference.com/players/t/thompkl01.html,GSW,2022
95,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",usUS,2,Marquette,https://www.basketball-reference.com/players/t/toscaju01.html,GSW,2022
12,Quinndary Weatherspoon,SG,6-3,205,"September 10, 1996",usUS,2,Mississippi State,https://www.basketball-reference.com/players/w/weathqu01.html,GSW,2022
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",caCA,7,Kansas,https://www.basketball-reference.com/players/w/wiggian01.html,GSW,2022
6,Jaylen Adams,PG,6-0,225,"May 4, 1996",usUS,2,St. Bonaventure,https://www.basketball-reference.com/players/a/adamsja01.html,MIL,2021
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",grGR,7,,https://www.basketball-reference.com/players/a/antetgi01.html,MIL,2021
43,Thanasis Antetokounmpo,SF,6-7,219,"July 18, 1992",grGR,2,,https://www.basketball-reference.com/players/a/antetth01.html,MIL,2021
12,D.J. Augustin,PG,5-11,183,"November 10, 1987",usUS,12,Texas,https://www.basketball-reference.com/players/a/augusdj01.html,MIL,2021
3,Elijah Bryant,SG,6-5,210,"April 19, 1995",usUS,R,"Elon University,BYU",https://www.basketball-reference.com/players/b/bryanel01.html,MIL,2021
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",usUS,5,Notre Dame,https://www.basketball-reference.com/players/c/connapa01.html,MIL,2021
3,Torrey Craig,SF,6-7,221,"December 19, 1990",usUS,3,USC Upstate,https://www.basketball-reference.com/players/c/craigto01.html,MIL,2021
25,Mamadi Diakite,PF,6-9,228,"January 21, 1997",gnGN,R,Virginia,https://www.basketball-reference.com/players/d/diakima01.html,MIL,2021
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",usUS,2,Villanova,https://www.basketball-reference.com/players/d/divindo01.html,MIL,2021
7,Bryn Forbes,SG,6-2,205,"July 23, 1993",usUS,4,Michigan State,https://www.basketball-reference.com/players/f/forbebr01.html,MIL,2021
21,Jrue Holiday,PG,6-4,205,"June 12, 1990",usUS,11,UCLA,https://www.basketball-reference.com/players/h/holidjr01.html,MIL,2021
44,Justin Jackson,SF,6-8,220,"March 28, 1995",usUS,3,UNC,https://www.basketball-reference.com/players/j/jacksju01.html,MIL,2021
00,Rodions Kurucs,SF,6-9,228,"February 5, 1998",lvLV,2,,https://www.basketball-reference.com/players/k/kurucro01.html,MIL,2021
11,Brook Lopez,C,7-1,282,"April 1, 1988",usUS,12,Stanford,https://www.basketball-reference.com/players/l/lopezbr01.html,MIL,2021
15,Sam Merrill,SG,6-4,205,"May 15, 1996",usUS,R,Utah State University,https://www.basketball-reference.com/players/m/merrisa01.html,MIL,2021
22,Khris Middleton,SF,6-7,222,"August 12, 1991",usUS,8,Texas A&M,https://www.basketball-reference.com/players/m/middlkh01.html,MIL,2021
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",usUS,R,Louisville,https://www.basketball-reference.com/players/n/nworajo01.html,MIL,2021
9,Bobby Portis,C,6-10,250,"February 10, 1995",usUS,5,Arkansas,https://www.basketball-reference.com/players/p/portibo01.html,MIL,2021
5,Jeff Teague,PG,6-3,195,"June 10, 1988",usUS,11,Wake Forest,https://www.basketball-reference.com/players/t/teaguje01.html,MIL,2021
66,Axel Toupane,SF,6-7,197,"July 23, 1992",frFR,2,,https://www.basketball-reference.com/players/t/toupaax01.html,MIL,2021
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",usUS,9,Texas,https://www.basketball-reference.com/players/t/tuckepj01.html,MIL,2021
5,D.J. Wilson,PF,6-10,231,"February 19, 1996",usUS,3,Michigan,https://www.basketball-reference.com/players/w/wilsodj01.html,MIL,2021
37,Kostas Antetokounmpo,PF,6-10,200,"November 20, 1997",grGR,1,Dayton,https://www.basketball-reference.com/players/a/antetko01.html,LAL,2020
11,Avery Bradley,SG,6-3,180,"November 26, 1990",usUS,9,Texas,https://www.basketball-reference.com/players/b/bradlav01.html,LAL,2020
12,Devontae Cacok,C,6-7,240,"October 8, 1996",usUS,R,UNC Wilmington,https://www.basketball-reference.com/players/c/cacokde01.html,LAL,2020
1,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",usUS,6,Georgia,https://www.basketball-reference.com/players/c/caldwke01.html,LAL,2020
4,Alex Caruso,PG,6-5,186,"February 28, 1994",usUS,2,Texas A&M,https://www.basketball-reference.com/players/c/carusal01.html,LAL,2020
"2, 28",Quinn Cook,PG,6-1,180,"March 23, 1993",usUS,3,Duke,https://www.basketball-reference.com/players/c/cookqu01.html,LAL,2020
30,Troy Daniels,SG,6-4,200,"July 15, 1991",usUS,6,VCU,https://www.basketball-reference.com/players/d/danietr01.html,LAL,2020
3,Anthony Davis,PF,6-10,253,"March 11, 1993",usUS,7,Kentucky,https://www.basketball-reference.com/players/d/davisan02.html,LAL,2020
10,Jared Dudley,PF,6-6,237,"July 10, 1985",usUS,12,Boston College,https://www.basketball-reference.com/players/d/dudleja01.html,LAL,2020
14,Danny Green,SG,6-6,215,"June 22, 1987",usUS,10,UNC,https://www.basketball-reference.com/players/g/greenda02.html,LAL,2020
5,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",usUS,R,Iowa State,https://www.basketball-reference.com/players/h/hortota01.html,LAL,2020
39,Dwight Howard,C,6-10,265,"December 8, 1985",usUS,15,,https://www.basketball-reference.com/players/h/howardw01.html,LAL,2020
23,LeBron James,PG,6-9,250,"December 30, 1984",usUS,16,,https://www.basketball-reference.com/players/j/jamesle01.html,LAL,2020
0,Kyle Kuzma,PF,6-9,221,"July 24, 1995",usUS,2,Utah,https://www.basketball-reference.com/players/k/kuzmaky01.html,LAL,2020
7,JaVale McGee,C,7-0,270,"January 19, 1988",usUS,11,Nevada,https://www.basketball-reference.com/players/m/mcgeeja01.html,LAL,2020
88,Markieff Morris,PF,6-9,245,"September 2, 1989",usUS,8,Kansas,https://www.basketball-reference.com/players/m/morrima02.html,LAL,2020
21,Zach Norvell,SG,6-5,206,"December 9, 1997",usUS,R,Gonzaga,https://www.basketball-reference.com/players/n/norveza01.html,LAL,2020
9,Rajon Rondo,PG,6-1,180,"February 22, 1986",usUS,13,Kentucky,https://www.basketball-reference.com/players/r/rondora01.html,LAL,2020
21,J.R. Smith,SG,6-6,225,"September 9, 1985",usUS,15,North Carolina A&T,https://www.basketball-reference.com/players/s/smithjr01.html,LAL,2020
18,Dion Waiters,SG,6-3,215,"December 10, 1991",usUS,7,Syracuse,https://www.basketball-reference.com/players/w/waitedi01.html,LAL,2020
3,OG Anunoby,SF,6-7,232,"July 17, 1997",gbGB,1,Indiana,https://www.basketball-reference.com/players/a/anunoog01.html,TOR,2019
25,Chris Boucher,PF,6-9,200,"January 11, 1993",lcLC,1,"New Mexico Junior College,Northwest College,Oregon",https://www.basketball-reference.com/players/b/bouchch01.html,TOR,2019
4,Lorenzo Brown,PG,6-5,189,"August 26, 1990",usUS,4,NC State,https://www.basketball-reference.com/players/b/brownlo01.html,TOR,2019
33,Marc Gasol,C,6-11,255,"January 29, 1985",esES,10,,https://www.basketball-reference.com/players/g/gasolma01.html,TOR,2019
14,Danny Green,SG,6-6,215,"June 22, 1987",usUS,9,UNC,https://www.basketball-reference.com/players/g/greenda02.html,TOR,2019
9,Serge Ibaka,C,6-11,235,"September 18, 1989",cgCG,9,,https://www.basketball-reference.com/players/i/ibakase01.html,TOR,2019
2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",usUS,7,San Diego State,https://www.basketball-reference.com/players/l/leonaka01.html,TOR,2019
17,Jeremy Lin,PG,6-3,200,"August 23, 1988",usUS,8,Harvard University,https://www.basketball-reference.com/players/l/linje01.html,TOR,2019
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",usUS,12,Villanova,https://www.basketball-reference.com/players/l/lowryky01.html,TOR,2019
8,Jordan Loyd,PG,6-4,210,"July 27, 1993",usUS,R,"Furman University,University of Indianapolis",https://www.basketball-reference.com/players/l/loydjo01.html,TOR,2019
1,Patrick McCaw,SG,6-7,181,"October 25, 1995",usUS,2,UNLV,https://www.basketball-reference.com/players/m/mccawpa01.html,TOR,2019
20,Jodie Meeks,SG,6-4,210,"August 21, 1987",usUS,9,Kentucky,https://www.basketball-reference.com/players/m/meeksjo01.html,TOR,2019
0,C.J. Miles,SF,6-6,220,"March 18, 1987",usUS,13,,https://www.basketball-reference.com/players/m/milescj01.html,TOR,2019
13,Malcolm Miller,SF,6-7,210,"March 6, 1993",usUS,1,Holy Cross,https://www.basketball-reference.com/players/m/millema01.html,TOR,2019
15,Greg Monroe,C,6-11,265,"June 4, 1990",usUS,8,Georgetown,https://www.basketball-reference.com/players/m/monrogr01.html,TOR,2019
15,Eric Moreland,PF,6-10,238,"December 24, 1991",usUS,3,Oregon State,https://www.basketball-reference.com/players/m/moreler01.html,TOR,2019
24,Norman Powell,SG,6-3,215,"May 25, 1993",usUS,3,UCLA,https://www.basketball-reference.com/players/p/powelno01.html,TOR,2019
22,Malachi Richardson,SG,6-6,205,"January 5, 1996",usUS,2,Syracuse,https://www.basketball-reference.com/players/r/richama01.html,TOR,2019
43,Pascal Siakam,PF,6-8,230,"April 2, 1994",cmCM,2,New Mexico State,https://www.basketball-reference.com/players/s/siakapa01.html,TOR,2019
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",ltLT,6,,https://www.basketball-reference.com/players/v/valanjo01.html,TOR,2019
23,Fred VanVleet,PG,6-0,197,"February 25, 1994",usUS,2,Wichita State,https://www.basketball-reference.com/players/v/vanvlfr01.html,TOR,2019
55,Delon Wright,PG,6-5,185,"April 26, 1992",usUS,3,Utah,https://www.basketball-reference.com/players/w/wrighde01.html,TOR,2019
